Date,Lega,PD,M5S,FI,FdI,SVP,Other
2024-05-20,7,17,12,6,22,1,11
2024-05-09,7,18,15,7,24,1,4
2024-04-28,7,17,14,7,25,1,5
2024-04-26,7,18,14,8,24,1,4
2024-04-22,7,18,14,7,24,1,5
2024-04-16,8,17,13,5,25,1,7
2024-04-08,7,18,15,6,25,1,4
2024-03-22,7,18,15,6,25,1,4
2024-03-08,7,17,15,6,24,1,6
2024-03-04,8,17,15,5,25,1,5
2024-02-07,9,19,15,5,27,1,0
2024-01-23,8,14,13,7,27,1,6
2024-01-11,8,16,14,6,25,1,6
2024-01-09,8,17,15,6,25,1,4
2023-12-30,8,17,15,5,26,1,4
2023-11-30,9,17,14,5,26,1,4
2023-11-06,8,17,14,7,25,1,4
2023-10-31,8,17,14,4,25,1,7
2023-09-30,9,19,14,4,25,1,4
2023-09-11,8,17,14,7,25,1,4
2023-08-31,9,19,15,5,27,1,0
2023-07-31,9,19,15,5,27,1,0
2023-07-17,8,16,13,7,24,1,7
2023-06-28,8,18,15,6,28,1,0
2023-05-31,8,18,15,4,26,1,4
2023-05-22,8,18,14,7,25,1,3
2023-04-30,9,17,14,4,24,1,7
2023-03-27,8,16,14,7,25,1,5
2023-02-01,8,14,15,7,25,1,6
2019-05-26,29,19,14,7,6,1,0
