Date,Lab + Green + TPM,Nat + ACT,NZF
2023-10-14,40.28,47.99,6.46
2023-08-01,0.0,0.0,
2023-10-10,43.7,46.0,6.0
2023-10-10,45.1,43.3,6.8
2023-10-08,44.0,42.0,7.5
2023-10-08,42.8,41.9,8.2
2023-10-04,42.2,45.0,6.9
2023-10-03,41.2,46.0,6.0
2023-09-28,43.1,47.0,6.4
2023-09-26,40.9,48.0,6.0
2023-09-23,42.900000000000006,47.900000000000006,5.2
2023-09-19,41.9,49.0,5.0
2023-09-12,40.6,49.0,5.0
2023-09-10,40.4,44.8,6.0
2023-09-09,42.2,51.0,4.6
2023-09-06,42.1,49.3,3.9
2023-08-01,40.5,49.0,5.5
2023-08-30,41.0,47.0,6.0
2023-08-30,44.4,46.0,5.4
2023-08-25,47.0,44.0,6.0
2023-08-16,43.6,50.0,3.7
2023-08-08,41.6,47.9,5.8
2023-08-07,45.1,46.0,4.4
2023-08-06,40.0,46.1,5.3
2023-07-01,41.0,47.5,5.0
2023-07-31,44.6,48.7,4.1
2023-07-12,45.8,47.0,3.1
2023-07-10,45.0,46.5,3.3
2023-07-02,43.2,48.0,4.0
2023-06-01,47.0,45.0,3.0
2023-06-06,46.65,46.0,2.9
2023-06-06,46.099999999999994,48.400000000000006,1.6
2023-05-01,47.5,45.0,3.5
2023-05-24,44.4,48.0,3.0
2023-05-17,48.199999999999996,38.8,5.3
2023-05-11,47.5,46.099999999999994,3.0
2023-05-07,44.5,48.3,2.6
2023-05-03,46.1,46.0,3.4
2023-04-01,46.5,44.5,4.5
2023-04-05,46.5,46.0,2.6
2023-04-05,46.9,46.0,3.9
2023-03-01,45.5,45.0,3.0
2023-03-09,48.2,46.0,2.9
2023-03-08,49.6,45.0,3.1
2023-03-07,42.6,44.099999999999994,4.2
2023-02-01,49.0,45.5,2.0
2023-02-09,44.3,46.099999999999994,2.9
2023-01-31,47.0,46.0,3.4
2023-01-29,46.4,47.0,2.2
2023-01-28,49.1,40.7,4.5
2023-01-27,47.9,47.3,2.2
2023-01-16,43.9,48.0,2.8
2023-01-01,46.5,45.5,5.0
2022-12-06,44.7,49.8,2.9
2022-12-01,44.5,46.0,4.3
2022-12-01,42.5,49.5,4.0
2022-11-30,44.0,49.0,3.6
2022-11-08,44.699999999999996,47.5,3.8
2022-11-01,41.5,50.0,3.5
2022-11-07,46.2,45.0,4.4
2022-11-03,43.699999999999996,50.7,3.3
2022-10-25,44.900000000000006,40.1,7.2
2022-10-11,43.7,48.6,2.1
2022-10-01,47.5,44.5,3.5
2022-10-01,46.2,46.0,4.0
2022-09-01,45.5,48.5,1.0
2022-09-21,44.6,46.0,3.0
2022-09-09,44.8,49.4,1.6
2022-09-07,46.0,47.0,
2022-08-01,49.0,46.0,1.5
2022-08-11,48.2,45.0,2.6
2022-08-08,45.0,47.0,
2022-08-03,44.3,48.0,2.6
2022-08-03,46.5,42.099999999999994,3.5
2022-07-01,48.5,46.0,1.5
2022-07-10,46.900000000000006,47.0,2.8
2022-06-26,45.0,48.5,1.5
2022-06-12,44.3,46.8,2.3
2022-06-10,49.1,43.0,3.3
2022-05-22,44.0,50.0,3.0
2022-05-25,46.9,46.0,1.3
2022-05-11,46.300000000000004,47.699999999999996,1.8
2022-05-10,48.0,43.0,4.0
2022-04-27,49.1,46.9,1.7
2022-04-24,45.5,47.5,2.5
2022-04-13,49.8,46.199999999999996,1.7
2022-03-27,44.5,47.0,4.0
2022-03-15,48.800000000000004,46.5,1.8
2022-03-08,48.3,47.0,2.2
2022-02-27,45.0,49.5,2.0
2022-02-10,49.599999999999994,45.0,1.5
2022-02-04,55.9,39.3,1.8
2022-01-30,46.0,48.5,2.5
2022-01-26,50.6,43.0,1.8
2022-01-17,52.400000000000006,44.5,0.9
2021-12-19,45.0,50.0,2.0
2021-12-08,53.4,43.2,2.3
2021-11-21,49.5,44.0,2.5
2021-11-17,52.00000000000001,42.9,2.5
2021-11-10,50.9,42.0,3.3
2021-11-08,50.199999999999996,42.1,1.7
2021-11-03,52.4,41.0,4.2
2021-10-24,52.0,42.0,2.5
2021-10-11,52.699999999999996,39.1,3.6
2021-10-05,54.9,38.0,3.8
2021-09-26,57.0,39.0,1.5
2021-09-26,53.1,40.0,2.5
2021-09-09,56.6,36.2,2.7
2021-09-06,53.0,39.0,4.1
2021-08-22,54.0,38.0,2.5
2021-08-01,51.7,41.0,4.4
2021-07-29,53.4,39.8,3.4
2021-07-25,52.0,42.0,2.0
2021-07-01,57.5,35.0,5.0
2021-06-27,53.5,41.0,1.5
2021-05-26,55.8,38.0,1.2
2021-05-23,57.5,37.5,2.0
2021-05-13,61.00000000000001,33.9,1.9
2021-04-25,57.5,38.5,1.0
2021-03-28,58.5,34.0,2.5
2021-03-13,59.5,35.0,1.8
2021-02-21,59.5,36.5,1.5
2021-01-24,60.5,34.0,2.0
2020-12-13,56.5,38.0,2.0
2020-12-02,62.5,33.0,1.6
2020-11-22,58.0,36.0,1.0
2020-10-17,59.1,33.2,2.6
