Date,Erdoğan AKP,CHP,İnce CHP,Demirtaş DEM,Other
2025-07-11,40.9,59.0,,,0.0
2025-07-11,25.8,48.9,0.7,6.8,1.5
2025-06-23,36.5,50.7,,5.7,6.5
2025-06-23,43.3,56.7,,,0.0
2025-06-23,39.2,57.800000000000004,,,0.0
2025-06-23,40.8,56.7,,2.5,0.0
2025-06-12,42.7,38.9,,6.9,11.5
2025-06-12,36.6,45.5,,8.9,9.0
2025-06-12,44.7,32.9,,8.4,14.0
2025-06-02,31.7,57.1,,,10.5
2025-06-02,30.5,69.5,,,0.0
2025-06-01,30.9,55.8,,8.0,5.3
2025-06-01,29.5,54.4,,9.7,6.4
2025-05-22,36.8,60.8,,2.3,0.0
2025-05-22,35.9,61.699999999999996,,,0.0
2025-05-22,38.4,43.7,,6.8,5.1
2025-05-14,30.5,50.0,,4.1,5.8
2025-05-22,43.7,56.3,,,0.0
2025-04-04,38.6,49.4,,3.5,6.300000000000001
2025-03-29,31.2,51.8,,,0.0
2025-03-18,32.7,56.0,,4.0,7.4
2025-03-18,33.3,56.599999999999994,,3.9,6.1
2025-03-01,36.4,46.9,,5.0,2.9
2025-02-20,38.6,54.1,,,0.0
2025-02-11,35.4,61.699999999999996,,,0.0
2025-02-03,35.0,65.0,,,0.0
2025-02-01,35.4,51.3,,4.0,3.4
2025-02-01,34.4,49.7,,4.8,6.7
2025-01-30,28.5,55.1,,5.5,3.6
2024-12-29,35.0,49.1,,5.0,6.1
2024-12-28,36.9,63.2,,,0.0
2024-12-27,35.4,64.69999999999999,,,0.0
2024-12-12,33.8,45.099999999999994,,,1.3
2024-12-01,31.8,53.2,,,9.9
2024-11-29,34.6,50.9,,5.1,5.300000000000001
2024-11-12,44.2,44.3,,,7.4
2024-11-03,35.8,62.0,,,0.0
2024-10-29,36.6,57.3,,6.1,0.0
2024-09-27,35.5,61.4,,,0.0
2024-09-19,35.4,52.6,,12.0,0.0
2024-09-18,29.9,69.1,,,0.0
2024-08-17,33.5,55.099999999999994,,11.5,0.0
2023-05-14,49.24,45.07,,,5.69
