Date,Approval,Disapproval
2025-04-14,4.0,13.0
2025-04-14,,
2025-04-14,,
2025-04-11,,
2025-04-07,,
2025-04-07,,
2025-04-07,,
2025-04-01,,
2025-03-31,,
2025-03-28,,
2025-03-27,,
2025-03-26,,
2025-03-24,,
2025-03-21,,
2025-03-17,5.0,12.0
2025-03-17,,
2025-03-17,,
2025-03-17,,
2025-03-14,,
2025-03-11,,
2025-03-10,,
2025-03-09,10.0,18.0
2025-03-07,,
2025-03-05,4.0,12.0
2025-03-03,,
2025-03-03,,
2025-02-26,,
2025-02-24,,
2025-02-21,,
2025-02-18,,
2025-02-18,,
2025-02-17,4.0,12.0
2025-02-11,,
2025-02-10,,
2025-02-07,,
2025-02-03,,
2025-01-29,,
2025-01-29,,
2025-01-27,,
2025-01-24,,
2025-01-20,,
2025-01-20,,
2025-01-13,,
2025-01-13,,
2025-01-10,,
2025-01-03,,
2024-12-23,,
2024-12-20,,
2024-12-16,,
2024-12-13,,
2024-12-10,,
2024-12-04,,
2024-11-29,,
2024-11-27,,
2024-11-27,,
2024-11-18,,
2024-11-14,11.0,10.0
2024-11-13,,
2024-11-11,16.0,26.0
2024-11-11,,
2024-11-10,4.0,12.0
2024-10-31,,
2024-10-31,,
2024-10-20,13.0,20.0
2024-10-18,,
2024-10-10,,
2024-10-07,,
2024-10-07,,
2024-10-06,,
2024-10-04,,
2024-10-03,,
2024-09-27,,
2024-09-25,,
2024-09-22,,
2024-09-20,,
2024-09-09,,
2024-08-29,,
2024-08-27,,
2024-08-16,,
2024-08-08,10.0,26.0
2024-08-07,,
2024-08-06,,
2024-08-02,19.0,17.0
2024-07-31,3.0,10.0
2024-07-26,12.0,32.0
2024-07-19,21.0,15.0
2024-07-12,,
2024-07-08,7.0,14.0
2024-07-06,,
